tenant,updateQuery
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 05:18:23', status = 'COMPLETED' WHERE id = 6057 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 09:47:57', status = 'COMPLETED' WHERE id = 6307 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 12:49:42', status = 'COMPLETED' WHERE id = 6469 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 12:29:04', status = 'COMPLETED' WHERE id = 6492 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 08:58:29', status = 'COMPLETED' WHERE id = 6223 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 12:52:00', status = 'COMPLETED' WHERE id = 6451 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 11:03:37', status = 'COMPLETED' WHERE id = 6437 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-29 11:14:25', status = 'COMPLETED' WHERE id = 6729 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 12:09:50', status = 'COMPLETED' WHERE id = 6548 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 05:06:12', status = 'COMPLETED' WHERE id = 5969 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 11:01:54', status = 'COMPLETED' WHERE id = 6326 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 11:06:39', status = 'COMPLETED' WHERE id = 6295 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 07:57:10', status = 'COMPLETED' WHERE id = 6268 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 11:06:39', status = 'COMPLETED' WHERE id = 6294 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 10:34:13', status = 'COMPLETED' WHERE id = 6391 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-29 11:21:59', status = 'COMPLETED' WHERE id = 6733 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 05:18:23', status = 'COMPLETED' WHERE id = 6057 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 09:47:57', status = 'COMPLETED' WHERE id = 6307 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 12:49:42', status = 'COMPLETED' WHERE id = 6469 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 12:29:04', status = 'COMPLETED' WHERE id = 6492 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 08:58:29', status = 'COMPLETED' WHERE id = 6223 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 12:52:00', status = 'COMPLETED' WHERE id = 6451 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 11:03:37', status = 'COMPLETED' WHERE id = 6437 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-29 11:14:25', status = 'COMPLETED' WHERE id = 6729 AND status = 'CREATED'"
th214,"UPDATE th214.pre_purchase_issue_order SET updated_on = '2022-04-28 12:09:50', status = 'COMPLETED' WHERE id = 6548 AND status = 'CREATED'"
